timesteps,wall_s,episodes,ep_reward_mean,ep_pnl_mean,frac_noop,frac_buy,frac_sell,frac_spoof_buy,frac_spoof_sell,frac_cancel,manip_trades_per_1k,run_overs_per_1k
4000,1.9,20,-47.63486103008618,-3321.309792399689,0.16425,0.1665,0.17,0.1605,0.17,0.16875,174.5,2.25
8000,6.3,20,-42.48458079720731,-2948.2849559216093,0.178,0.14925,0.13475,0.153,0.1935,0.1915,142.0,1.5
12000,10.9,20,-59.61611311883316,-4116.641324517457,0.2045,0.11,0.11575,0.151,0.20325,0.2155,100.25,4.5
16000,15.7,20,-37.77640021468687,-2609.8748221241926,0.24225,0.07625,0.09675,0.13175,0.238,0.215,81.0,2.75
20000,20.2,20,-34.599121301528065,-2366.6497221807017,0.22425,0.10025,0.083,0.12575,0.21325,0.2535,79.25,1.75
24000,24.5,20,-35.26282172800857,-2464.0743584457814,0.1975,0.084,0.071,0.09875,0.2685,0.28025,60.0,2.25
28000,29.0,20,-22.770158515591174,-1554.3574585353913,0.2195,0.06325,0.0635,0.1255,0.227,0.30125,44.25,1.25
32000,33.5,20,-12.572468238818692,-852.4379575877043,0.22075,0.05775,0.05075,0.115,0.192,0.36375,33.5,0.5
36000,38.1,20,-19.627828156261238,-1322.3666570289292,0.26525,0.059,0.051,0.1005,0.213,0.31125,43.0,1.25
40000,42.6,20,-15.691348605306121,-1069.657509303288,0.28075,0.04575,0.04225,0.1155,0.185,0.33075,30.5,0.75
44000,47.1,20,-21.697625810682077,-1749.480662241111,0.3155,0.04125,0.03125,0.1155,0.16675,0.32975,29.25,1.5
48000,51.8,20,-20.99291204289766,-1427.3067456245233,0.27175,0.02825,0.02375,0.14025,0.138,0.398,20.75,1.0
52000,57.3,20,-5.052783166646259,-331.1215011626497,0.29075,0.03025,0.021,0.13225,0.135,0.39075,19.75,0.0
56000,62.0,20,-11.784006786398823,-793.013684706841,0.28525,0.02325,0.025,0.12725,0.136,0.40325,23.5,0.5
60000,66.7,20,-10.115798236557747,-684.8907512908002,0.30725,0.02025,0.0185,0.133,0.145,0.376,21.5,0.75
64000,71.6,20,-2.530128562083701,-155.22223336695168,0.317,0.025,0.02025,0.1265,0.15925,0.352,27.0,0.0
68000,76.7,20,-8.277706733846571,-510.82213577857476,0.31075,0.03075,0.02025,0.138,0.1765,0.32375,41.0,1.0
72000,82.9,20,-5.543105225835461,-333.55837662009145,0.293,0.03125,0.03075,0.15975,0.149,0.33625,47.75,1.25
76000,88.3,20,-0.7470381002291105,-21.806800983544964,0.26425,0.035,0.031,0.14125,0.17275,0.35575,52.5,0.25
80000,93.0,20,-4.128376931160164,-218.74578415584983,0.26625,0.05475,0.02575,0.12825,0.19925,0.32575,71.0,1.0
84000,98.9,20,-2.6087064878316597,-126.95554739240615,0.27275,0.0385,0.0415,0.12225,0.16875,0.35625,66.25,0.75
88000,104.1,20,3.088571543939179,121.99051183418487,0.278,0.04225,0.054,0.1405,0.184,0.30125,83.75,1.0
92000,110.7,20,-0.6574936816701665,23.99133544813667,0.26725,0.04525,0.0545,0.1385,0.19575,0.29875,93.25,1.0
96000,116.0,20,11.871119158755755,1021.4153835015895,0.2545,0.06375,0.07725,0.1385,0.1965,0.2695,131.5,0.25
100000,121.2,20,8.991183774662204,709.9172286548389,0.2405,0.067,0.0775,0.13925,0.20725,0.2685,138.0,1.0
104000,126.1,20,6.15431828147266,569.8615098044378,0.24625,0.0985,0.09425,0.13475,0.18075,0.2455,186.25,2.0
108000,131.3,20,18.350901226501446,1430.7646856859733,0.254,0.09625,0.0915,0.1115,0.22275,0.224,182.0,0.5
112000,136.4,20,24.31685151704296,1820.8767706584636,0.276,0.09175,0.1155,0.11325,0.202,0.2015,202.0,1.0
116000,141.5,20,37.390524044941415,2775.104151911575,0.245,0.139,0.11925,0.0985,0.1915,0.20675,253.75,1.0
120000,146.7,20,32.74942961818306,2453.659159000669,0.242,0.11325,0.16325,0.115,0.1785,0.188,271.0,0.5
124000,152.0,20,21.65227473351406,1684.8885918640358,0.253,0.1475,0.12425,0.09575,0.204,0.1755,267.5,1.5
128000,157.3,20,41.41150779901473,3472.2624911782696,0.20975,0.13975,0.209,0.1185,0.142,0.181,344.0,2.5
132000,162.6,20,39.234032338182445,3233.337454546524,0.19275,0.2245,0.1545,0.08325,0.1715,0.1735,371.75,2.25
136000,167.9,20,59.22615711928229,4607.653005352366,0.192,0.13425,0.24775,0.106,0.1345,0.1855,375.5,1.0
140000,173.2,20,62.24153798530169,5000.2328053819965,0.197,0.206,0.1805,0.085,0.1445,0.187,375.75,0.75
