timesteps,wall_s,episodes,ep_reward_mean,ep_pnl_mean,frac_noop,frac_buy,frac_sell,frac_spoof_buy,frac_spoof_sell,frac_cancel,manip_trades_per_1k,run_overs_per_1k
4000,1.9,20,-39.987493485643064,-1045.6438898213466,0.16975,0.16225,0.15975,0.16525,0.163,0.18,74.25,2.5
8000,6.3,20,-40.887474630522775,-1048.6013727925158,0.1845,0.13575,0.14525,0.16275,0.18225,0.1895,69.5,2.75
12000,10.6,20,-35.89697113392613,-868.2285097456333,0.19525,0.1155,0.14975,0.1665,0.15075,0.22225,65.0,2.5
16000,15.1,20,-29.921170568140223,-756.1210226355608,0.2265,0.08725,0.13,0.1505,0.167,0.23875,51.25,2.5
20000,19.4,20,-31.222065480030142,-799.7854306870274,0.25725,0.0765,0.10225,0.16075,0.1825,0.22075,44.5,3.75
24000,23.7,20,-24.909332665026888,-597.915329002557,0.29025,0.06175,0.09675,0.15475,0.156,0.2405,45.75,2.25
28000,28.0,20,-15.666273231356172,-387.3246419381321,0.267,0.05125,0.1095,0.146,0.1945,0.23175,53.25,2.0
32000,32.3,20,-15.494675155333244,-374.336616334899,0.26975,0.03575,0.1055,0.13625,0.2105,0.24225,44.5,1.5
36000,36.6,20,-9.95996738095746,-251.48849695933896,0.28075,0.03775,0.10025,0.147,0.2265,0.20775,48.0,2.25
40000,40.9,20,-17.90431871866458,-388.59920885297254,0.26075,0.02675,0.08475,0.15025,0.26225,0.21525,51.0,2.5
44000,45.2,20,-8.538223178341287,-197.25604350019057,0.23275,0.02925,0.07575,0.14425,0.29125,0.22675,46.75,1.0
48000,49.6,20,-9.674037800333462,-207.33989007194177,0.199,0.0305,0.08275,0.16,0.273,0.25475,54.25,1.5
52000,54.8,20,-6.723432087017136,-136.15703765727812,0.18625,0.02,0.0565,0.1755,0.2585,0.30325,35.25,2.25
56000,59.6,20,-10.983019200403941,-260.42499056621125,0.22125,0.023,0.06275,0.15025,0.23875,0.304,37.25,2.5
60000,64.1,20,-15.94314505373186,-377.1826370006176,0.19,0.0175,0.05425,0.14475,0.26825,0.32525,32.0,2.75
64000,68.5,20,-3.00468190817046,-67.20326704352229,0.15275,0.01475,0.04425,0.1365,0.30575,0.346,27.0,1.0
68000,73.1,20,-5.634221554144096,-129.15189335858958,0.20375,0.01675,0.03475,0.12475,0.296,0.324,21.5,1.0
72000,77.9,20,-7.820521893777186,-163.8472274796899,0.1915,0.01025,0.0415,0.12525,0.3295,0.302,30.25,2.25
76000,83.7,20,-5.26115937504801,-113.75616902227848,0.186,0.0145,0.035,0.1235,0.31225,0.32875,25.5,1.0
80000,88.9,20,-1.7782070636225398,-55.791070224376014,0.18225,0.0125,0.0275,0.10625,0.3255,0.346,19.75,0.75
84000,93.4,20,-2.1923049663193526,-122.72539823470251,0.20525,0.00825,0.0205,0.091,0.35125,0.32375,11.5,2.0
88000,99.0,20,-12.205017672287067,-303.63954696625404,0.221,0.01025,0.01925,0.09325,0.37325,0.283,11.75,1.25
92000,104.0,20,-4.5820308497990485,-114.54987810130442,0.2545,0.01125,0.0205,0.07925,0.35825,0.27625,11.0,1.0
96000,110.0,20,-6.298554392287042,-136.68758269867212,0.256,0.004,0.0185,0.0745,0.35675,0.29025,10.5,0.75
100000,115.2,20,-0.6799001744075213,-10.42763958519463,0.25,0.00675,0.02375,0.08425,0.33,0.30525,14.75,0.5
104000,120.3,20,-2.473388423830329,-57.13236191255491,0.25875,0.00325,0.02275,0.10675,0.2885,0.32,17.0,0.5
