timesteps,wall_s,episodes,ep_reward_mean,ep_pnl_mean,frac_noop,frac_buy,frac_sell,frac_spoof_buy,frac_spoof_sell,frac_cancel,manip_trades_per_1k,run_overs_per_1k
4000,1.9,20,-63.973069001854675,-4275.443447885261,0.17775,0.165,0.16325,0.161,0.16275,0.17025,150.25,3.0
8000,6.2,20,-71.24402533315188,-4787.633815383824,0.1615,0.13325,0.134,0.17925,0.179,0.213,115.25,3.5
12000,10.8,20,-50.88693520428569,-3395.783791580971,0.14375,0.12675,0.107,0.201,0.2215,0.2,117.25,4.0
16000,15.5,20,-55.193480734189144,-3686.7464026969187,0.1295,0.10275,0.12225,0.23175,0.19975,0.214,104.25,3.25
20000,20.0,20,-52.33512155472054,-3492.3345550931263,0.13125,0.12175,0.09275,0.238,0.182,0.23425,96.75,3.5
24000,24.3,20,-39.04192400380998,-2609.189975398875,0.13425,0.0995,0.09525,0.2705,0.1705,0.23,94.0,1.5
28000,28.9,20,-59.248958271560696,-3955.3781767897394,0.162,0.09,0.11375,0.26725,0.1905,0.1765,118.5,3.25
32000,33.4,20,-55.32881765891216,-3709.9892431130575,0.2,0.07175,0.108,0.32125,0.1565,0.1425,113.0,5.25
36000,37.9,20,-34.72306522835861,-2313.390737774606,0.16975,0.05475,0.10825,0.3615,0.13725,0.1685,102.0,3.75
40000,42.5,20,-64.45611661681468,-4306.99125513239,0.2095,0.07075,0.087,0.31375,0.127,0.192,86.25,3.75
44000,47.0,20,-42.96994197089007,-2880.677867416598,0.223,0.06025,0.09075,0.312,0.10825,0.20575,80.25,2.0
48000,51.9,20,-54.42428172723121,-3634.3748961658102,0.222,0.04925,0.09375,0.3055,0.12975,0.19975,83.75,3.0
52000,57.4,20,-28.52529860390059,-1901.6755583210645,0.26875,0.0445,0.07775,0.2575,0.13525,0.21625,64.75,4.0
56000,62.0,20,-41.85940536029629,-2793.3469499245302,0.30475,0.03375,0.072,0.24825,0.10625,0.235,55.5,2.25
60000,66.8,20,-40.4998306379548,-2703.377023752428,0.32575,0.02975,0.067,0.21,0.10525,0.26225,46.75,2.25
64000,71.6,20,-18.541371254235127,-1235.3795661241893,0.32275,0.0285,0.061,0.236,0.0935,0.25825,33.25,1.0
68000,76.6,20,-44.85816463626979,-3457.1446708779054,0.2955,0.02825,0.07425,0.23675,0.098,0.26725,46.0,4.25
72000,82.6,20,-20.481430511636425,-1365.3387456412675,0.3495,0.0305,0.055,0.221,0.098,0.246,38.0,1.5
76000,87.9,20,-12.560856268604038,-835.0532429165833,0.395,0.015,0.05375,0.21675,0.08825,0.23125,38.5,0.5
80000,92.6,20,-19.488386168211584,-1296.8765222680013,0.374,0.019,0.064,0.215,0.107,0.221,48.25,1.25
84000,98.6,20,-21.301796166607527,-1412.797155350534,0.30325,0.018,0.06825,0.255,0.0955,0.26,52.25,1.75
88000,103.7,20,-35.409839034215835,-2360.7911790941607,0.31075,0.016,0.07525,0.24425,0.08925,0.2645,55.75,1.75
92000,110.1,20,-12.416068543630171,-996.7328676299833,0.348,0.0135,0.05975,0.203,0.063,0.31275,42.0,1.0
96000,115.4,20,-5.896190094465783,-388.5296684620451,0.41825,0.0135,0.04975,0.16575,0.05075,0.302,39.75,1.25
100000,120.4,20,-8.443596820401217,-507.5522414481835,0.3985,0.0145,0.066,0.148,0.0485,0.3245,52.5,1.0
