timesteps,wall_s,episodes,ep_reward_mean,ep_pnl_mean,frac_noop,frac_buy,frac_sell,frac_spoof_buy,frac_spoof_sell,frac_cancel,manip_trades_per_1k,run_overs_per_1k
220000,954.1,0,nan,nan,0.001,0.4355,0.4415,0.02975,0.03225,0.06,873.75,0.0
224000,959.1,4,3416.3471899352007,229027.91514914134,0.00075,0.45975,0.4525,0.02175,0.02325,0.042,910.0,0.0
228000,964.3,0,nan,nan,0.001,0.43725,0.4565,0.02475,0.02875,0.05175,889.25,0.0
232000,969.0,4,3549.8918077663984,237975.065970595,0.001,0.45325,0.4455,0.02225,0.02825,0.04975,895.0,0.0
236000,973.6,0,nan,nan,0.00125,0.4405,0.448,0.02525,0.03025,0.05475,883.25,0.0
240000,978.5,4,3274.625112188529,219513.35196529748,0.00075,0.45325,0.4425,0.028,0.02525,0.05025,893.5,0.0
244000,983.1,0,nan,nan,0.00025,0.45025,0.447,0.02725,0.02575,0.0495,893.0,0.0
248000,987.9,4,3289.723304485784,220532.01290378702,0.0,0.44325,0.445,0.0295,0.028,0.05425,885.5,0.25
252000,992.5,0,nan,nan,0.0005,0.445,0.45825,0.02275,0.02625,0.04725,902.5,0.0
256000,997.2,4,3525.1601409280447,236338.80939795836,0.0,0.456,0.45225,0.02275,0.02475,0.04425,907.25,0.0
260000,1001.5,0,nan,nan,0.001,0.4505,0.46525,0.02225,0.02075,0.04025,906.25,0.0
264000,1005.9,4,3487.2978992279186,259702.8873650515,0.0005,0.449,0.44875,0.02325,0.0285,0.05,896.5,0.25
268000,1010.8,0,nan,nan,0.00025,0.45475,0.4575,0.02225,0.02275,0.0425,908.25,0.0
272000,1014.8,4,3335.112177321622,223589.21766093458,0.0005,0.45675,0.45875,0.023,0.0195,0.0415,911.5,0.25
276000,1019.2,0,nan,nan,0.0,0.458,0.465,0.0195,0.01975,0.03775,917.0,0.0
280000,1023.8,4,3499.3832480861347,234612.75247587904,0.00025,0.4575,0.462,0.02025,0.0205,0.0395,916.25,0.0
284000,1028.2,0,nan,nan,0.00075,0.4535,0.458,0.02075,0.024,0.043,907.5,0.0
288000,1032.7,4,3426.7756904417092,229729.12209705036,0.0005,0.4535,0.45775,0.01925,0.0245,0.0445,901.75,0.0
292000,1037.0,0,nan,nan,0.00075,0.4475,0.46475,0.02225,0.02175,0.043,911.25,0.0
296000,1041.3,4,3532.286951649594,236786.81064834108,0.0,0.46625,0.4555,0.02,0.019,0.03925,918.0,0.0
300000,1045.7,0,nan,nan,0.00025,0.46175,0.45725,0.0215,0.02,0.03925,917.0,0.0
304000,1050.0,4,3597.1052216056923,241129.16880267177,0.0,0.456,0.46775,0.018,0.02025,0.038,921.75,0.0
308000,1054.4,0,nan,nan,0.00075,0.45625,0.463,0.02,0.021,0.039,915.5,0.5
312000,1058.5,4,3501.3171761285303,234707.2613415861,0.0,0.45875,0.45925,0.021,0.0205,0.0405,915.0,0.0
316000,1063.7,0,nan,nan,0.0,0.4535,0.45825,0.01975,0.02525,0.04325,908.75,0.0
320000,1068.5,4,3504.1219504825967,249560.9310309567,0.0005,0.46025,0.458,0.01775,0.022,0.0415,914.0,0.0
324000,1072.9,0,nan,nan,0.0,0.459,0.45725,0.02025,0.022,0.0415,913.0,0.0
328000,1077.5,4,3537.6212332991745,237142.7684989278,0.0,0.46025,0.469,0.01725,0.0175,0.036,928.75,0.0
332000,1082.1,0,nan,nan,0.0,0.457,0.46075,0.02,0.02125,0.041,916.25,0.0
336000,1087.0,4,3541.48559620141,237397.22209143656,0.0,0.46125,0.463,0.018,0.02,0.03775,922.0,0.25
340000,1091.2,0,nan,nan,0.0,0.45925,0.4615,0.02025,0.02025,0.03875,918.25,0.0
344000,1095.3,4,3528.460924835108,236517.16570054757,0.0,0.45475,0.461,0.02025,0.02175,0.04225,914.0,0.0
348000,1099.4,0,nan,nan,0.0,0.45975,0.46025,0.02125,0.019,0.03975,913.25,0.0
352000,1103.5,4,3579.2802372512087,239930.2002153523,0.0,0.45775,0.4555,0.02125,0.02175,0.04375,908.75,0.0
356000,1112.0,0,nan,nan,0.0,0.44925,0.45825,0.02275,0.02425,0.0455,907.25,0.0
360000,1122.7,4,3497.4806003205886,234439.53090450595,0.0,0.45025,0.451,0.02275,0.02725,0.04875,900.25,0.0
364000,1127.4,0,nan,nan,0.00025,0.457,0.4605,0.0195,0.02225,0.0405,917.25,0.0
368000,1131.4,4,3626.6870387777926,243103.30170221062,0.00025,0.464,0.458,0.0195,0.02,0.03825,920.25,0.0
372000,1135.2,0,nan,nan,0.0,0.46225,0.4705,0.017,0.0175,0.03275,927.5,0.0
376000,1139.0,4,3545.896672030809,237699.98185320554,0.0,0.4665,0.45875,0.01975,0.01775,0.03725,921.25,0.0
380000,1142.8,0,nan,nan,0.0,0.46225,0.466,0.01825,0.018,0.0355,928.25,0.0
384000,1146.9,4,3576.45144656063,239743.10139681044,0.0,0.466,0.46075,0.01975,0.01675,0.03675,922.75,0.0
388000,1150.9,0,nan,nan,0.0,0.4635,0.47075,0.016,0.0175,0.03225,932.5,0.0
392000,1154.9,4,3591.1454988050937,240750.17534866463,0.0,0.47425,0.46075,0.01625,0.017,0.03175,930.5,0.0
396000,1158.8,0,nan,nan,0.0,0.46675,0.46275,0.01775,0.01775,0.035,928.25,0.0
400000,1162.5,4,3502.50522684729,234795.44662769669,0.0,0.458,0.462,0.01975,0.0205,0.03975,917.5,0.0
404000,1166.3,0,nan,nan,0.0005,0.4715,0.46225,0.01775,0.016,0.032,930.25,0.25
408000,1170.2,4,3653.7194316774094,244935.54696627668,0.0,0.4655,0.4735,0.01475,0.01575,0.0305,937.0,0.0
412000,1174.1,0,nan,nan,0.0,0.4665,0.4665,0.0165,0.01725,0.03325,931.0,0.0
416000,1178.0,4,3641.284747028396,244103.4899308412,0.00025,0.46875,0.46825,0.016,0.01525,0.0315,931.75,0.0
420000,1181.8,0,nan,nan,0.0,0.46275,0.465,0.01675,0.01925,0.03625,922.0,0.0
424000,1185.7,4,3369.3847605242954,225886.16237834434,0.0,0.47175,0.468,0.01475,0.01525,0.03025,934.5,0.0
428000,1189.7,0,nan,nan,0.00025,0.4685,0.46875,0.01525,0.0165,0.03075,931.5,0.0
432000,1193.6,4,3760.53109654107,306997.30599140376,0.00025,0.4795,0.467,0.0125,0.01425,0.0265,936.25,0.0
436000,1197.4,0,nan,nan,0.0,0.474,0.46625,0.01475,0.01575,0.02925,935.75,0.0
440000,1201.1,4,3575.848635086688,239727.01245252302,0.00025,0.45875,0.478,0.0155,0.01525,0.03225,934.0,0.0
444000,1205.1,0,nan,nan,0.0,0.46975,0.46975,0.016,0.0145,0.03,936.75,0.0
448000,1208.9,4,3641.2642477417066,244109.45302569363,0.0,0.4715,0.4645,0.0165,0.0155,0.032,928.75,0.0
452000,1212.8,0,nan,nan,0.0,0.47325,0.46875,0.01525,0.01425,0.0285,936.0,0.0
456000,1216.8,4,3636.5317812404282,243788.51865493547,0.0,0.46575,0.47425,0.0155,0.01425,0.03025,938.75,0.0
460000,1220.6,0,nan,nan,0.00025,0.47025,0.4715,0.01475,0.01475,0.0285,938.5,0.0
464000,1224.4,4,3579.020215110577,239924.54032717407,0.0,0.46375,0.46425,0.01825,0.018,0.03575,923.75,0.0
468000,1228.3,0,nan,nan,0.0,0.4605,0.47125,0.016,0.018,0.03425,929.75,0.0
472000,1232.4,4,3567.7128263705818,239167.32544639474,0.0,0.468,0.464,0.01575,0.01825,0.034,929.25,0.0
476000,1236.3,0,nan,nan,0.0,0.464,0.46825,0.01675,0.01725,0.03375,930.5,0.0
480000,1240.5,4,3511.5279097267703,235402.5327422794,0.0,0.4665,0.4655,0.01675,0.0175,0.03375,931.25,0.0
484000,1244.3,0,nan,nan,0.0,0.4655,0.47075,0.0155,0.01675,0.0315,930.0,0.0
488000,1248.5,4,3505.608043427298,235023.8807897747,0.0,0.462,0.4745,0.015,0.017,0.0315,933.75,0.0
492000,1252.4,0,nan,nan,0.0,0.46675,0.4705,0.0155,0.0165,0.03075,937.0,0.0
496000,1256.3,4,3602.762199228524,241530.9915561661,0.0,0.4755,0.47075,0.013,0.0135,0.02725,940.75,0.0
500000,1260.4,0,nan,nan,0.0,0.4695,0.47775,0.01275,0.01375,0.02625,945.5,0.25
504000,1264.2,4,3720.5113661347023,249425.41356223103,0.0,0.469,0.4775,0.01325,0.0135,0.02675,943.5,0.0
508000,1268.2,0,nan,nan,0.0,0.47025,0.47725,0.01325,0.0135,0.02575,943.5,0.0
512000,1272.4,4,3742.5233012050267,250899.65191112817,0.0,0.47925,0.468,0.013,0.0135,0.02625,946.0,0.0
516000,1276.3,0,nan,nan,0.0,0.46775,0.476,0.01375,0.0145,0.028,939.0,0.0
520000,1280.2,4,3616.4409897621154,243655.1759102801,0.00025,0.4725,0.47,0.013,0.01575,0.0285,933.5,0.25
524000,1284.1,0,nan,nan,0.0,0.473,0.472,0.0135,0.01475,0.02675,940.5,0.0
528000,1288.0,4,3659.052381234187,245296.93818134352,0.0,0.4685,0.47425,0.01425,0.01475,0.02825,941.0,0.25
532000,1292.0,0,nan,nan,0.0,0.47375,0.4675,0.014,0.016,0.02875,938.25,0.25
536000,1296.4,4,3458.1872211993723,231843.6039823566,0.0,0.482,0.46625,0.013,0.013,0.02575,944.0,0.25
540000,1300.6,0,nan,nan,0.0,0.471,0.46875,0.01475,0.016,0.0295,937.25,0.0
544000,1305.0,4,3601.692203746661,241456.17461782167,0.0,0.47575,0.4675,0.01425,0.0145,0.028,936.25,0.5
548000,1309.2,0,nan,nan,0.0,0.483,0.46275,0.01325,0.0145,0.0265,944.0,0.25
552000,1313.6,4,3683.10499143169,246918.94357350355,0.0,0.47125,0.4745,0.013,0.014,0.02725,943.25,0.0
556000,1318.2,0,nan,nan,0.0,0.47625,0.46775,0.01375,0.01475,0.0275,942.75,0.0
560000,1323.4,4,3714.4908782397797,249031.66387896438,0.0005,0.4695,0.475,0.0135,0.01375,0.02775,941.0,0.0
564000,1328.3,0,nan,nan,0.0,0.47725,0.471,0.013,0.01375,0.025,943.25,0.5
568000,1334.2,4,3706.0957989176386,248462.78305580653,0.0,0.47275,0.474,0.0135,0.01325,0.0265,944.75,0.25
572000,1341.7,0,nan,nan,0.0,0.4725,0.46725,0.0155,0.015,0.02975,934.75,0.0
576000,1348.7,4,3593.931797211457,240939.93421491905,0.00025,0.4695,0.47825,0.0135,0.0125,0.026,944.75,0.0
580000,1354.4,0,nan,nan,0.0,0.47,0.46825,0.0135,0.018,0.03025,937.0,0.0
584000,1359.3,4,3606.4371963317863,241786.24302219026,0.0,0.473,0.47675,0.01225,0.01325,0.02475,948.25,0.25
588000,1363.3,0,nan,nan,0.00025,0.47075,0.4725,0.014,0.01475,0.02775,938.25,0.0
592000,1367.1,4,3579.77480143536,240002.3248301578,0.0,0.4795,0.471,0.01225,0.0125,0.02475,947.5,0.0
596000,1370.9,0,nan,nan,0.00025,0.483,0.46225,0.0135,0.0145,0.0265,942.75,0.25
600000,1374.7,4,3604.701040417669,241669.77511998563,0.0,0.46125,0.477,0.0165,0.01425,0.031,936.75,0.0
