timesteps,wall_s,episodes,ep_reward_mean,ep_pnl_mean,frac_noop,frac_buy,frac_sell,frac_spoof_buy,frac_spoof_sell,frac_cancel,manip_trades_per_1k,run_overs_per_1k
4000,1.8,20,-84.50805638934835,-927.6957196717558,0.1735,0.16075,0.163,0.15875,0.172,0.172,148.75,8.75
8000,6.2,20,-80.3891394867911,-810.155251714346,0.13975,0.16,0.17225,0.17275,0.15325,0.202,134.5,6.5
12000,10.5,20,-92.6016079959285,-951.0466045571732,0.17,0.1475,0.151,0.134,0.18025,0.21725,117.25,6.0
16000,15.0,20,-55.333998614523445,-530.5782324455311,0.169,0.13425,0.124,0.12575,0.2015,0.2455,90.25,4.75
20000,19.4,20,-52.395628271525496,-557.7212960667999,0.156,0.117,0.123,0.1335,0.2155,0.255,79.5,4.0
24000,23.8,20,-57.716026579422035,-534.7472596873552,0.1775,0.107,0.10425,0.10525,0.2395,0.2665,67.75,8.0
28000,28.1,20,-50.65441558090388,-373.30045270027875,0.183,0.11175,0.097,0.09025,0.213,0.305,67.25,5.75
32000,32.5,20,-48.98681086095748,-484.1394079482132,0.18225,0.1155,0.098,0.078,0.19475,0.3315,63.25,3.0
36000,36.9,20,-38.10055747190491,-388.85263768087316,0.22575,0.104,0.07125,0.07525,0.22325,0.3005,64.25,2.5
40000,41.3,20,-37.04329759427346,-341.44498197901703,0.21275,0.07925,0.08875,0.079,0.18825,0.352,45.5,3.75
44000,45.8,20,-57.95847782291239,-513.9235282323043,0.2195,0.08425,0.06625,0.08525,0.21475,0.33,35.75,5.25
48000,50.3,20,-36.419639096898024,-360.88411320756387,0.247,0.084,0.0675,0.08025,0.1705,0.35075,37.25,2.25
52000,55.8,20,-17.226312004112877,-73.8745102418965,0.2445,0.06375,0.06575,0.08625,0.1825,0.35725,28.5,2.25
56000,60.5,20,-19.63169761444442,-203.0662878068164,0.2615,0.05725,0.061,0.09425,0.17475,0.35125,25.25,1.25
60000,65.0,20,-14.316575143461524,-74.67489102169966,0.2665,0.04725,0.052,0.0915,0.19425,0.3485,24.25,1.5
64000,69.7,20,-27.26657424014993,-224.08851876150948,0.255,0.04525,0.03625,0.1045,0.191,0.368,17.75,2.25
68000,74.2,20,-16.44885648235213,-109.4101717374062,0.201,0.04275,0.03325,0.10725,0.1955,0.42025,13.0,1.25
72000,80.0,20,-17.697503800657795,-187.80910604124148,0.23775,0.03425,0.0405,0.10975,0.19575,0.382,17.0,1.25
76000,85.3,20,-8.28989161545178,-55.35899189552001,0.219,0.02775,0.03725,0.092,0.21225,0.41175,9.5,1.75
80000,90.4,20,-5.375006919302541,17.598230146270726,0.19,0.024,0.031,0.11225,0.2,0.44275,10.5,0.5
84000,95.4,20,-15.982036664985936,-151.61137487473897,0.1915,0.02325,0.024,0.1035,0.202,0.45575,12.0,1.5
88000,100.9,20,-36.21135060393717,-275.8697757193237,0.18275,0.024,0.018,0.1135,0.235,0.42675,14.25,4.25
92000,106.1,20,-11.019744316674041,-84.92638928723026,0.21175,0.0225,0.01825,0.10225,0.2035,0.44175,12.25,1.0
96000,112.3,20,-14.951558260945603,-139.97413750662236,0.213,0.013,0.0165,0.09825,0.2045,0.45475,3.75,2.0
100000,117.4,20,-15.051079258235404,-130.69024911003106,0.2255,0.01275,0.0185,0.09625,0.199,0.448,7.75,1.5
104000,122.3,20,-8.683658942393958,-30.08039164005786,0.2455,0.00975,0.0115,0.11,0.183,0.44025,4.5,2.0
108000,127.1,20,-15.045215244498104,-71.181476865277,0.23625,0.00875,0.01225,0.09425,0.21375,0.43475,3.75,1.0
112000,131.9,20,-13.34368061493151,-86.82325437676154,0.2345,0.0095,0.011,0.0945,0.2315,0.419,8.0,1.5
116000,136.7,20,-19.188408505532426,-141.32876653856403,0.26375,0.0125,0.01125,0.10325,0.21325,0.396,8.75,1.25
120000,141.7,20,-6.827147068828344,-54.302159120043505,0.25775,0.01175,0.01375,0.11775,0.214,0.385,8.0,0.5
124000,146.6,20,-13.824032718501986,-99.74766028774283,0.234,0.00725,0.0085,0.099,0.24325,0.408,4.0,2.0
128000,151.7,20,-11.5945622140076,-81.40923408358067,0.23875,0.0065,0.008,0.09,0.25125,0.4055,5.25,2.5
132000,156.6,20,-8.733174702117685,-61.42229845313814,0.20725,0.0055,0.00675,0.1065,0.21175,0.46225,2.0,1.5
136000,161.6,20,-6.4351040563546125,-21.524651671984977,0.188,0.005,0.007,0.126,0.22225,0.45175,2.75,2.75
140000,166.6,20,-11.690574223874137,-84.31046520082236,0.19075,0.00925,0.00725,0.12375,0.21475,0.45425,5.5,1.25
144000,171.6,20,-16.15207190043293,-147.4928889086106,0.215,0.0095,0.0065,0.111,0.20025,0.45775,3.75,1.0
148000,176.8,20,-7.698296706099063,-66.11057816565408,0.173,0.00625,0.00325,0.1315,0.20925,0.47675,3.5,2.0
152000,182.0,20,-7.546298643108457,-33.83230786248642,0.17,0.00625,0.00375,0.137,0.20725,0.47575,2.25,1.5
156000,187.2,20,-11.304841864295303,-74.4793586178279,0.1855,0.00825,0.003,0.15375,0.1945,0.455,4.75,1.25
160000,192.4,20,-10.476893049594945,-80.72046154184208,0.20725,0.00575,0.00625,0.1395,0.185,0.45625,2.5,1.25
164000,197.8,20,-8.681066651130095,-39.20849003274343,0.18775,0.00425,0.00425,0.148,0.18,0.47575,2.5,1.75
