timesteps,wall_s,reward_per_step,positive_rate,flag_rate,precision,recall,fpr
2048,1.0,-0.77392578125,0.24072265625,0.4951171875,0.23076923076923078,0.4746450304259635,0.5016077170418006
4096,8.7,-0.87353515625,0.09814453125,0.4873046875,0.10220440881763528,0.5074626865671642,0.4851109907958852
6144,16.7,-0.818359375,0.12109375,0.45703125,0.11858974358974358,0.4475806451612903,0.4583333333333333
8192,24.5,-0.74658203125,0.07568359375,0.40283203125,0.08363636363636363,0.44516129032258067,0.3993660855784469
10240,32.6,-0.46875,0.134765625,0.2666015625,0.18681318681318682,0.3695652173913043,0.2505643340857788
12288,40.6,-0.28466796875,0.24462890625,0.17822265625,0.4438356164383562,0.32335329341317365,0.13122171945701358
14336,50.6,-0.1923828125,0.3798828125,0.255859375,0.683206106870229,0.4601542416452442,0.13070866141732285
16384,65.0,-0.13037109375,0.17626953125,0.18798828125,0.561038961038961,0.5983379501385041,0.1001778304682869
18432,81.9,-0.09912109375,0.14697265625,0.12548828125,0.5953307392996109,0.5083056478405316,0.059530623926731537
20480,96.7,-0.2666015625,0.0537109375,0.107421875,0.004545454545454545,0.00909090909090909,0.1130030959752322
22528,106.3,0.02197265625,0.26611328125,0.21044921875,0.8422273781902552,0.6660550458715596,0.04524284763805722
24576,116.0,-0.15966796875,0.16064453125,0.25927734375,0.5009416195856874,0.8085106382978723,0.15415939499709133
26624,125.3,0.001953125,0.1357421875,0.13330078125,0.7582417582417582,0.7446043165467626,0.03728813559322034
28672,135.4,-0.01611328125,0.17236328125,0.0888671875,0.9395604395604396,0.48441926345609065,0.006489675516224189
30720,145.1,-0.04443359375,0.09228515625,0.14013671875,0.5853658536585366,0.8888888888888888,0.06401291016675632
32768,155.4,-0.09130859375,0.05126953125,0.09619140625,0.39593908629441626,0.7428571428571429,0.06124549665465775
34816,165.9,-0.06103515625,0.18408203125,0.275390625,0.6117021276595744,0.9151193633952255,0.1310592459605027
36864,175.3,0.0556640625,0.091796875,0.09423828125,0.8911917098445595,0.9148936170212766,0.01129032258064516
38912,185.0,-0.22216796875,0.06689453125,0.16845703125,0.26956521739130435,0.6788321167883211,0.13186813186813187
40960,194.5,-0.2333984375,0.07421875,0.15283203125,0.23961661341853036,0.4934210526315789,0.12552742616033755
43008,204.3,-0.26123046875,0.04736328125,0.15966796875,0.1651376146788991,0.5567010309278351,0.1399282419272168
45056,214.3,-0.1708984375,0.025390625,0.08544921875,0.07428571428571429,0.25,0.0811623246492986
47104,223.9,-0.16064453125,0.03759765625,0.125,0.25390625,0.8441558441558441,0.09690512430238457
49152,232.3,-0.052734375,0.0048828125,0.02392578125,0.0,0.0,0.02404317958783121
51200,241.0,-0.091796875,0.216796875,0.287109375,0.608843537414966,0.8063063063063063,0.1433915211970075
53248,249.0,-0.1865234375,0.0654296875,0.1455078125,0.29194630872483224,0.6492537313432836,0.11024033437826541
55296,257.3,-0.13916015625,0.14013671875,0.17822265625,0.5013698630136987,0.6376306620209059,0.1033503691084611
57344,265.2,-0.130859375,0.1171875,0.1142578125,0.4700854700854701,0.4583333333333333,0.06858407079646017
59392,273.4,-0.080078125,0.0322265625,0.06982421875,0.32867132867132864,0.7121212121212122,0.04843592330978809
61440,281.5,-0.06884765625,0.21826171875,0.14111328125,0.7647058823529411,0.49440715883668906,0.042473454091193005
63488,288.4,-0.0517578125,0.1162109375,0.1328125,0.6213235294117647,0.7100840336134454,0.0569060773480663
65536,296.2,0.0390625,0.2001953125,0.17626953125,0.8393351800554016,0.7390243902439024,0.03540903540903541
67584,306.2,-0.07177734375,0.17529296875,0.212890625,0.6215596330275229,0.754874651810585,0.09769094138543517
69632,316.3,0.0361328125,0.1904296875,0.1865234375,0.8036649214659686,0.7871794871794872,0.04523522316043426
71680,326.6,0.05712890625,0.22607421875,0.2470703125,0.7865612648221344,0.8596112311015118,0.06813880126182965
73728,336.3,-0.05322265625,0.17919921875,0.23291015625,0.6352201257861635,0.8256130790190735,0.10350981558596074
75776,346.2,-0.05322265625,0.14599609375,0.20751953125,0.611764705882353,0.8695652173913043,0.09433962264150944
77824,354.0,0.0849609375,0.173828125,0.14697265625,0.9401993355481728,0.7949438202247191,0.010638297872340425
79872,362.0,0.115234375,0.1865234375,0.16259765625,0.963963963963964,0.8403141361256544,0.007202881152460984
81920,369.8,-0.0439453125,0.04296875,0.00048828125,0.0,0.0,0.0005102040816326531
83968,377.7,-0.07958984375,0.07958984375,0.0791015625,0.5,0.49693251533742333,0.04297082228116711
86016,387.2,-0.15185546875,0.10693359375,0.1494140625,0.42483660130718953,0.593607305936073,0.09622744669218151
88064,397.4,-0.154296875,0.1728515625,0.22314453125,0.5207877461706784,0.672316384180791,0.1292798110979929
90112,405.1,0.05615234375,0.14013671875,0.16943359375,0.7896253602305475,0.9547038327526133,0.04145371947756956
92160,413.3,-0.09521484375,0.11572265625,0.15771484375,0.5325077399380805,0.7257383966244726,0.08337934842628382
94208,421.1,-0.111328125,0.0673828125,0.10498046875,0.3953488372093023,0.6159420289855072,0.06806282722513089
96256,428.3,0.01513671875,0.17724609375,0.15576171875,0.8087774294670846,0.7107438016528925,0.03620178041543027
98304,437.1,-0.02978515625,0.19677734375,0.23583984375,0.6770186335403726,0.8114143920595533,0.09483282674772037
100352,445.0,-0.0927734375,0.103515625,0.19873046875,0.5135135135135135,0.9858490566037735,0.10784313725490197
102400,453.6,-0.1123046875,0.1162109375,0.0859375,0.5113636363636364,0.37815126050420167,0.04751381215469613
104448,462.1,0.00146484375,0.18115234375,0.19091796875,0.7391304347826086,0.7789757412398922,0.06082289803220036
106496,470.3,0.138671875,0.2607421875,0.24560546875,0.9065606361829026,0.8539325842696629,0.031043593130779392
108544,479.2,0.03125,0.1591796875,0.17626953125,0.7700831024930748,0.852760736196319,0.04819976771196283
110592,487.2,-0.00244140625,0.18603515625,0.26953125,0.6702898550724637,0.9711286089238845,0.10917816436712657
112640,495.5,0.08837890625,0.22314453125,0.22998046875,0.8386411889596603,0.8643326039387309,0.04776869893148963
114688,503.2,0.064453125,0.23046875,0.23828125,0.8094262295081968,0.836864406779661,0.05901015228426396
116736,511.5,-0.07421875,0.1083984375,0.14794921875,0.5577557755775577,0.7612612612612613,0.07338444687842278
118784,519.7,-0.236328125,0.0546875,0.1494140625,0.19607843137254902,0.5357142857142857,0.12706611570247933
120832,528.2,-0.09326171875,0.08544921875,0.1279296875,0.4847328244274809,0.7257142857142858,0.07207688200747464
122880,536.0,0.01416015625,0.24267578125,0.26708984375,0.7404021937842779,0.8148893360160966,0.0915538362346873
124928,544.6,-0.01708984375,0.14111328125,0.18505859375,0.6675461741424802,0.8754325259515571,0.07163160886867538
126976,552.9,-0.1015625,0.078125,0.1640625,0.4642857142857143,0.975,0.09533898305084745
129024,561.2,-0.25439453125,0.04150390625,0.189453125,0.2190721649484536,1.0,0.1543555781966378
131072,570.3,-0.18115234375,0.16748046875,0.2587890625,0.4867924528301887,0.7521865889212828,0.15953079178885632
133120,578.4,-0.169921875,0.0419921875,0.06396484375,0.0,0.0,0.06676860346585117
135168,586.9,-0.05517578125,0.14208984375,0.21337890625,0.6018306636155606,0.9037800687285223,0.09903244166192374
137216,595.4,-0.1357421875,0.1015625,0.17724609375,0.45179063360881544,0.7884615384615384,0.10815217391304348
139264,604.4,0.056640625,0.1416015625,0.13818359375,0.8586572438162544,0.8379310344827586,0.022753128555176336
141312,613.0,0.00634765625,0.09521484375,0.091796875,0.776595744680851,0.7487179487179487,0.02266594711279007
143360,621.0,-0.10009765625,0.10595703125,0.0537109375,0.5272727272727272,0.2672811059907834,0.028399781540142
145408,629.3,0.119140625,0.251953125,0.1875,0.9947916666666666,0.7403100775193798,0.0013054830287206266
147456,637.3,-0.06201171875,0.12353515625,0.09619140625,0.6598984771573604,0.5138339920948617,0.03732590529247911
149504,645.7,-0.216796875,0.041015625,0.130859375,0.16417910447761194,0.5238095238095238,0.11405295315682282
151552,654.3,-0.09033203125,0.02197265625,0.0341796875,0.0,0.0,0.034947578632051925
153600,662.8,0.2236328125,0.271484375,0.27099609375,0.9567567567567568,0.9550359712230215,0.0160857908847185
155648,671.2,-0.0751953125,0.0234375,0.02587890625,0.0,0.0,0.0265
157696,679.6,0.04296875,0.1591796875,0.16650390625,0.8035190615835777,0.8404907975460123,0.038908246225319396
159744,688.3,0.20751953125,0.25537109375,0.2353515625,0.991701244813278,0.9139579349904398,0.002622950819672131
161792,696.5,0.0380859375,0.1044921875,0.130859375,0.7723880597014925,0.9672897196261683,0.03326063249727372
163840,705.0,0.0009765625,0.119140625,0.13916015625,0.7157894736842105,0.8360655737704918,0.04490022172949002
165888,713.5,0.12255859375,0.16943359375,0.17333984375,0.9211267605633803,0.9423631123919308,0.01646090534979424
167936,721.8,0.10595703125,0.22119140625,0.18408203125,0.9442970822281167,0.7858719646799117,0.013166144200626959
169984,729.8,0.05029296875,0.12255859375,0.10400390625,0.9154929577464789,0.7768924302788844,0.01001669449081803
172032,738.4,-0.0068359375,0.0,0.00341796875,0.0,nan,0.00341796875
174080,746.5,0.01611328125,0.07568359375,0.048828125,0.97,0.6258064516129033,0.001584786053882726
176128,755.2,0.0439453125,0.2470703125,0.15234375,0.9775641025641025,0.6027667984189723,0.004539559014267186
178176,763.4,-0.0498046875,0.078125,0.01611328125,0.9393939393939394,0.19375,0.001059322033898305
180224,771.4,0.12109375,0.154296875,0.1455078125,0.9731543624161074,0.9177215189873418,0.004618937644341801
182272,779.8,0.12939453125,0.15478515625,0.14892578125,0.9770491803278688,0.9400630914826499,0.004043905257076834
184320,787.7,-0.01416015625,0.05419921875,0.04150390625,0.7411764705882353,0.5675675675675675,0.011357769747031492
186368,796.1,0.03515625,0.103515625,0.1162109375,0.7983193277310925,0.8962264150943396,0.026143790849673203
188416,804.3,0.03515625,0.0458984375,0.04345703125,0.9662921348314607,0.9148936170212766,0.0015353121801432957
190464,812.4,0.0458984375,0.076171875,0.08349609375,0.8654970760233918,0.9487179487179487,0.012156448202959831
192512,820.8,-0.05322265625,0.04150390625,0.005859375,0.0,0.0,0.006113092205807438
194560,828.9,-0.0205078125,0.0537109375,0.01953125,0.925,0.33636363636363636,0.0015479876160990713
196608,837.5,0.04345703125,0.08251953125,0.06298828125,1.0,0.7633136094674556,0.0
198656,845.1,0.0888671875,0.1474609375,0.1259765625,0.9689922480620154,0.8278145695364238,0.004581901489117984
200704,853.1,0.08544921875,0.09228515625,0.0947265625,0.9690721649484536,0.9947089947089947,0.0032275416890801506
202752,861.0,-0.0244140625,0.0576171875,0.0380859375,0.717948717948718,0.4745762711864407,0.011398963730569948
204800,868.9,0.01220703125,0.11962890625,0.08154296875,0.9041916167664671,0.6163265306122448,0.00887409872434831
206848,876.8,0.00439453125,0.09814453125,0.05322265625,0.981651376146789,0.5323383084577115,0.0010828370330265296
208896,885.7,0.00634765625,0.12158203125,0.07275390625,0.9395973154362416,0.5622489959839357,0.005002779321845469
210944,893.8,-0.0078125,0.150390625,0.072265625,0.9932432432432432,0.4772727272727273,0.0005747126436781609
212992,902.0,0.0107421875,0.1005859375,0.0556640625,1.0,0.5533980582524272,0.0
