timesteps,wall_s,episodes,ep_reward_mean,ep_pnl_mean,frac_noop,frac_buy,frac_sell,frac_spoof_buy,frac_spoof_sell,frac_cancel,manip_trades_per_1k,run_overs_per_1k
4000,9.9,0,nan,nan,0.16475,0.166,0.16975,0.16025,0.1705,0.16875,178.25,0.5
8000,25.4,4,-377.9097435188305,-24454.068263505585,0.18,0.1985,0.13475,0.17375,0.155,0.158,184.0,0.0
12000,53.1,0,nan,nan,0.18675,0.14925,0.15925,0.163,0.1615,0.18025,147.5,0.25
16000,80.4,4,-346.0675363267492,-22712.387643443697,0.1855,0.17525,0.12475,0.13925,0.18775,0.1875,151.5,0.0
20000,108.3,0,nan,nan,0.19525,0.15375,0.13925,0.154,0.1475,0.21025,133.75,0.0
24000,133.3,4,-256.6271137611766,-16260.002060931525,0.221,0.13275,0.1225,0.135,0.1745,0.21425,129.5,0.0
28000,156.5,0,nan,nan,0.21225,0.1085,0.1605,0.1735,0.155,0.19025,148.25,0.25
32000,168.9,4,-197.3720202888071,-10235.450147201598,0.19775,0.122,0.11625,0.1485,0.156,0.2595,117.5,0.0
36000,192.6,0,nan,nan,0.23225,0.14175,0.1085,0.11925,0.1785,0.21975,137.25,0.0
40000,205.9,4,-129.9648118273908,-6445.952300670804,0.21875,0.10875,0.1355,0.15375,0.211,0.17225,154.25,0.0
44000,233.6,0,nan,nan,0.2255,0.125,0.11775,0.13725,0.19675,0.19775,150.5,0.0
48000,261.9,4,34.57789547808352,4614.069627626523,0.24025,0.11575,0.11275,0.13925,0.18325,0.20875,163.0,0.0
52000,290.3,0,nan,nan,0.2405,0.13025,0.12375,0.12725,0.19275,0.1855,203.0,0.0
56000,319.1,4,466.82078237740643,34671.645305541926,0.2045,0.14125,0.13725,0.10375,0.19525,0.218,228.25,0.0
60000,347.1,0,nan,nan,0.17875,0.16225,0.1625,0.11925,0.15175,0.2255,284.5,0.0
64000,374.1,4,1048.1346485675604,75489.37612942953,0.15575,0.1945,0.2055,0.107,0.14525,0.192,371.0,0.0
68000,394.7,0,nan,nan,0.126,0.24575,0.2445,0.09575,0.12425,0.16375,463.75,0.0
72000,419.9,4,1696.336512156413,123503.66306878868,0.1075,0.27675,0.27,0.07975,0.1195,0.1465,530.75,0.0
76000,444.8,0,nan,nan,0.094,0.285,0.2755,0.08625,0.117,0.14225,542.75,0.0
80000,468.6,4,1997.8527338132262,143236.05570036598,0.0795,0.309,0.31275,0.0765,0.09225,0.13,602.0,0.25
84000,491.2,0,nan,nan,0.079,0.3245,0.3205,0.07975,0.08225,0.114,621.5,0.0
88000,516.9,4,1943.5877467435494,139370.2662122578,0.06475,0.3145,0.3005,0.09475,0.07925,0.14625,585.5,0.0
92000,541.3,0,nan,nan,0.0485,0.332,0.32775,0.089,0.066,0.13675,639.25,0.0
96000,568.9,4,2376.071164814377,170017.99624783374,0.03625,0.359,0.3605,0.06325,0.0605,0.1205,694.0,0.0
100000,598.1,0,nan,nan,0.0335,0.37075,0.37,0.066,0.05525,0.1045,725.0,0.0
104000,617.4,4,2650.554972519487,189687.80472072703,0.032,0.38875,0.37775,0.0585,0.0485,0.0945,750.5,0.0
108000,641.6,0,nan,nan,0.022,0.37425,0.384,0.075,0.045,0.09975,748.0,0.0
112000,663.8,4,2735.353803841048,195708.1491598648,0.0175,0.39725,0.38975,0.05725,0.04675,0.0915,771.25,0.0
116000,688.1,0,nan,nan,0.0225,0.37725,0.3845,0.05525,0.06,0.1005,752.5,0.0
120000,710.3,4,2785.552918098423,199014.6272168288,0.01525,0.3965,0.38675,0.05275,0.055,0.09375,770.25,0.25
124000,734.8,0,nan,nan,0.01525,0.39325,0.4,0.04675,0.057,0.08775,786.75,0.0
128000,752.2,4,2800.801233129054,200073.66784422897,0.01125,0.3995,0.38875,0.05075,0.0555,0.09425,784.25,0.0
132000,774.0,0,nan,nan,0.011,0.4005,0.39975,0.05225,0.0475,0.089,791.25,0.0
136000,794.6,4,2764.6923581817246,197589.067234104,0.005,0.41075,0.41125,0.04525,0.0435,0.08425,818.0,0.25
140000,815.4,0,nan,nan,0.007,0.4195,0.424,0.03275,0.04925,0.0675,839.75,0.0
144000,835.5,4,3092.9526317841955,220983.3380733928,0.0035,0.42375,0.4185,0.03475,0.04775,0.07175,836.25,0.25
148000,842.2,0,nan,nan,0.0055,0.39675,0.392,0.045,0.065,0.09575,781.0,0.0
152000,848.8,4,2786.6382158655615,199075.7793182587,0.00325,0.412,0.4215,0.03875,0.04875,0.07575,824.5,0.0
156000,855.3,0,nan,nan,0.00225,0.4115,0.42325,0.043,0.04275,0.07725,828.5,0.0
160000,862.1,4,2869.4635256307956,205107.73044783736,0.00125,0.4245,0.4255,0.03625,0.04325,0.06925,845.25,0.0
164000,868.8,0,nan,nan,0.0025,0.4145,0.42325,0.03275,0.05275,0.07425,834.0,0.0
168000,875.3,4,3205.434464268066,228794.12485664498,0.00075,0.43275,0.43375,0.03375,0.03425,0.06475,861.25,0.25
172000,881.7,0,nan,nan,0.001,0.4255,0.42475,0.03225,0.0435,0.073,840.0,0.0
176000,888.2,4,3256.7665776139766,289529.9947184587,0.00225,0.4255,0.42625,0.033,0.04125,0.07175,842.5,0.0
