timesteps,wall_s,reward_per_step,positive_rate,flag_rate,precision,recall,fpr
2048,0.9,-0.9013671875,0.1015625,0.50048828125,0.10048780487804879,0.4951923076923077,0.5010869565217392
4096,8.4,-0.95849609375,0.06396484375,0.5087890625,0.060460652591170824,0.48091603053435117,0.5106937923839332
6144,15.8,-0.8125,0.0908203125,0.45556640625,0.10396570203644159,0.521505376344086,0.4489795918367347
8192,23.3,-0.7861328125,0.146484375,0.43505859375,0.1324354657687991,0.3933333333333333,0.44221967963386727
10240,30.7,-0.61962890625,0.08349609375,0.34130859375,0.1072961373390558,0.43859649122807015,0.3324453915823122
12288,37.6,-0.39990234375,0.10791015625,0.21435546875,0.15945330296127563,0.3167420814479638,0.2019704433497537
14336,45.0,-0.228515625,0.0849609375,0.12646484375,0.21621621621621623,0.3218390804597701,0.10832443970117396
16384,52.3,-0.13671875,0.046875,0.0732421875,0.19333333333333333,0.3020833333333333,0.061987704918032786
18432,59.9,-0.12255859375,0.02587890625,0.05322265625,0.045871559633027525,0.09433962264150944,0.05213032581453634
20480,67.5,-0.15087890625,0.22705078125,0.0546875,0.8482142857142857,0.20430107526881722,0.010739102969046115
22528,76.6,-0.1259765625,0.16796875,0.06396484375,0.6641221374045801,0.25290697674418605,0.025821596244131457
24576,86.6,-0.03271484375,0.08544921875,0.0478515625,0.7755102040816326,0.4342857142857143,0.011745862253069941
26624,97.9,-0.09765625,0.1787109375,0.06201171875,0.8267716535433071,0.28688524590163933,0.013079667063020214
28672,109.4,-0.04541015625,0.10302734375,0.03369140625,0.927536231884058,0.3033175355450237,0.0027218290691344584
30720,121.4,-0.080078125,0.1103515625,0.02294921875,0.8297872340425532,0.17256637168141592,0.0043907793633369925
32768,133.4,-0.06982421875,0.20849609375,0.080078125,0.9329268292682927,0.3583138173302108,0.006785934608266502
34816,145.7,-0.08984375,0.2099609375,0.06884765625,0.9361702127659575,0.30697674418604654,0.005562422744128554
36864,158.0,-0.0771484375,0.3671875,0.16259765625,0.9459459459459459,0.41888297872340424,0.013888888888888888
38912,170.7,-0.05517578125,0.19189453125,0.0771484375,0.9430379746835443,0.3791348600508906,0.005438066465256798
40960,183.0,-0.03515625,0.0947265625,0.05419921875,0.7747747747747747,0.44329896907216493,0.01348435814455232
43008,195.7,0.02001953125,0.12060546875,0.083984375,0.9186046511627907,0.6396761133603239,0.007773459189339256
45056,207.8,-0.09375,0.2412109375,0.10205078125,0.861244019138756,0.3643724696356275,0.01866151866151866
47104,220.6,-0.11181640625,0.11376953125,0.0029296875,0.6666666666666666,0.017167381974248927,0.0011019283746556473
49152,232.3,-0.01953125,0.1396484375,0.07177734375,0.9183673469387755,0.47202797202797203,0.00681044267877412
51200,245.4,-0.0224609375,0.0068359375,0.0078125,0.0,0.0,0.007866273352999017
53248,258.6,-0.05029296875,0.10498046875,0.0400390625,0.8414634146341463,0.3209302325581395,0.0070921985815602835
55296,271.3,-0.005859375,0.138671875,0.0869140625,0.8820224719101124,0.5528169014084507,0.011904761904761904
57344,284.9,0.01171875,0.22265625,0.1416015625,0.9137931034482759,0.581140350877193,0.015703517587939697
59392,298.1,-0.03955078125,0.15283203125,0.076171875,0.8717948717948718,0.43450479233226835,0.011527377521613832
61440,313.9,-0.0263671875,0.0703125,0.04833984375,0.7272727272727273,0.5,0.014180672268907563
63488,326.6,-0.029296875,0.14453125,0.0712890625,0.9041095890410958,0.44594594594594594,0.007990867579908675
65536,339.5,-0.103515625,0.4609375,0.189453125,0.9716494845360825,0.399364406779661,0.009963768115942028
67584,349.9,0.0009765625,0.1328125,0.07275390625,0.959731543624161,0.5257352941176471,0.0033783783783783786
69632,362.4,0.02734375,0.27734375,0.169921875,0.9482758620689655,0.5809859154929577,0.012162162162162163
71680,373.4,-0.0224609375,0.048828125,0.01611328125,0.9090909090909091,0.3,0.001540041067761807
73728,384.1,-0.001953125,0.0478515625,0.02978515625,0.8852459016393442,0.5510204081632653,0.0035897435897435897
